SrcEntity	TgtEntity	Score
http://purl.obolibrary.org/obo/BTO_0004674	http://purl.obolibrary.org/obo/mesh_D066328	0.119
http://purl.obolibrary.org/obo/BTO_0002128	http://purl.obolibrary.org/obo/mesh_C000606216	0.148
http://purl.obolibrary.org/obo/BTO_0000287	http://purl.obolibrary.org/obo/mesh_C050036	0.202
http://purl.obolibrary.org/obo/BTO_0001551	http://purl.obolibrary.org/obo/mesh_D006304	0.134
http://purl.obolibrary.org/obo/BTO_0005160	http://purl.obolibrary.org/obo/mesh_C007807	0.141
http://purl.obolibrary.org/obo/BTO_0001787	http://purl.obolibrary.org/obo/mesh_D020375	0.123
http://purl.obolibrary.org/obo/BTO_0001511	http://purl.obolibrary.org/obo/mesh_D016388	0.137
http://purl.obolibrary.org/obo/BTO_0002514	http://purl.obolibrary.org/obo/mesh_C083499	0.167
http://purl.obolibrary.org/obo/BTO_0006551	http://purl.obolibrary.org/obo/mesh_C000596979	0.125
http://purl.obolibrary.org/obo/BTO_0001067	http://purl.obolibrary.org/obo/mesh_C015450	0.116
http://purl.obolibrary.org/obo/BTO_0004913	http://purl.obolibrary.org/obo/mesh_C041250	0.13
http://purl.obolibrary.org/obo/BTO_0003000	http://purl.obolibrary.org/obo/mesh_C541789	0.171
http://purl.obolibrary.org/obo/BTO_0004131	http://purl.obolibrary.org/obo/mesh_D011193	0.15
http://purl.obolibrary.org/obo/BTO_0004669	http://purl.obolibrary.org/obo/mesh_D004070	0.143
http://purl.obolibrary.org/obo/BTO_0001554	http://purl.obolibrary.org/obo/mesh_C546598	0.163
http://purl.obolibrary.org/obo/BTO_0001170	http://purl.obolibrary.org/obo/mesh_C000678665	0.182
http://purl.obolibrary.org/obo/BTO_0001658	http://purl.obolibrary.org/obo/mesh_C000704645	0.115
http://purl.obolibrary.org/obo/BTO_0004764	http://purl.obolibrary.org/obo/mesh_C100844	0.125
http://purl.obolibrary.org/obo/BTO_0002177	http://purl.obolibrary.org/obo/mesh_C496272	0.177
http://purl.obolibrary.org/obo/BTO_0001845	http://purl.obolibrary.org/obo/mesh_D001981	0.167
http://purl.obolibrary.org/obo/BTO_0002959	http://purl.obolibrary.org/obo/mesh_C024804	0.117
http://purl.obolibrary.org/obo/BTO_0004025	http://purl.obolibrary.org/obo/mesh_D020948	0.114
http://purl.obolibrary.org/obo/BTO_0005125	http://purl.obolibrary.org/obo/mesh_C535977	0.194
http://purl.obolibrary.org/obo/BTO_0005187	http://purl.obolibrary.org/obo/mesh_C021751	0.131
http://purl.obolibrary.org/obo/BTO_0001355	http://purl.obolibrary.org/obo/mesh_D044366	0.14
http://purl.obolibrary.org/obo/BTO_0003859	http://purl.obolibrary.org/obo/mesh_D015041	0.13
http://purl.obolibrary.org/obo/BTO_0002361	http://purl.obolibrary.org/obo/mesh_D015831	0.217
http://purl.obolibrary.org/obo/BTO_0005519	http://purl.obolibrary.org/obo/mesh_D014261	0.209
http://purl.obolibrary.org/obo/BTO_0004948	http://purl.obolibrary.org/obo/mesh_C527918	0.177
http://purl.obolibrary.org/obo/BTO_0003561	http://purl.obolibrary.org/obo/mesh_C583185	0.147
http://purl.obolibrary.org/obo/BTO_0001806	http://purl.obolibrary.org/obo/mesh_D008399	0.163
http://purl.obolibrary.org/obo/BTO_0000368	http://purl.obolibrary.org/obo/mesh_D004827	0.133
http://purl.obolibrary.org/obo/BTO_0001031	http://purl.obolibrary.org/obo/mesh_D001202	0.154
http://purl.obolibrary.org/obo/BTO_0006140	http://purl.obolibrary.org/obo/mesh_D017294	0.145
http://purl.obolibrary.org/obo/BTO_0005576	http://purl.obolibrary.org/obo/mesh_D006552	0.133
http://purl.obolibrary.org/obo/BTO_0002841	http://purl.obolibrary.org/obo/mesh_C000649879	0.138
http://purl.obolibrary.org/obo/BTO_0004466	http://purl.obolibrary.org/obo/mesh_D007794	0.218
http://purl.obolibrary.org/obo/BTO_0004208	http://purl.obolibrary.org/obo/mesh_C113274	0.135
http://purl.obolibrary.org/obo/BTO_0006536	http://purl.obolibrary.org/obo/mesh_C083635	0.159
http://purl.obolibrary.org/obo/BTO_0005997	http://purl.obolibrary.org/obo/mesh_C560686	0.228
http://purl.obolibrary.org/obo/BTO_0003287	http://purl.obolibrary.org/obo/mesh_C497709	0.154
http://purl.obolibrary.org/obo/BTO_0003368	http://purl.obolibrary.org/obo/mesh_C000676728	0.193
http://purl.obolibrary.org/obo/BTO_0001272	http://purl.obolibrary.org/obo/mesh_D053625	0.122
http://purl.obolibrary.org/obo/BTO_0002312	http://purl.obolibrary.org/obo/mesh_D011344	0.166
http://purl.obolibrary.org/obo/BTO_0003627	http://purl.obolibrary.org/obo/mesh_D011658	0.117
http://purl.obolibrary.org/obo/BTO_0005130	http://purl.obolibrary.org/obo/mesh_C114705	0.155
http://purl.obolibrary.org/obo/BTO_0004505	http://purl.obolibrary.org/obo/mesh_C055806	0.185
http://purl.obolibrary.org/obo/BTO_0001014	http://purl.obolibrary.org/obo/mesh_D062405	0.196
http://purl.obolibrary.org/obo/BTO_0001293	http://purl.obolibrary.org/obo/mesh_C000674393	0.163
http://purl.obolibrary.org/obo/BTO_0001933	http://purl.obolibrary.org/obo/mesh_C026035	0.125
http://purl.obolibrary.org/obo/BTO_0004001	http://purl.obolibrary.org/obo/mesh_C015765	0.137
http://purl.obolibrary.org/obo/BTO_0004276	http://purl.obolibrary.org/obo/mesh_C055267	0.146
http://purl.obolibrary.org/obo/BTO_0005724	http://purl.obolibrary.org/obo/mesh_C490459	0.148
http://purl.obolibrary.org/obo/BTO_0003070	http://purl.obolibrary.org/obo/mesh_C579146	0.145
http://purl.obolibrary.org/obo/BTO_0004420	http://purl.obolibrary.org/obo/mesh_D005765	0.164
http://purl.obolibrary.org/obo/BTO_0004472	http://purl.obolibrary.org/obo/mesh_D020522	0.129
http://purl.obolibrary.org/obo/BTO_0001221	http://purl.obolibrary.org/obo/mesh_D002834	0.128
http://purl.obolibrary.org/obo/BTO_0003523	http://purl.obolibrary.org/obo/mesh_C039282	0.179
http://purl.obolibrary.org/obo/BTO_0002104	http://purl.obolibrary.org/obo/mesh_C406271	0.197
http://purl.obolibrary.org/obo/BTO_0004643	http://purl.obolibrary.org/obo/mesh_D014407	0.155
http://purl.obolibrary.org/obo/BTO_0006297	http://purl.obolibrary.org/obo/mesh_C000592408	0.118
http://purl.obolibrary.org/obo/BTO_0003015	http://purl.obolibrary.org/obo/mesh_C000644963	0.148
http://purl.obolibrary.org/obo/BTO_0001834	http://purl.obolibrary.org/obo/mesh_C045084	0.117
http://purl.obolibrary.org/obo/BTO_0006195	http://purl.obolibrary.org/obo/mesh_C555354	0.17
http://purl.obolibrary.org/obo/BTO_0005905	http://purl.obolibrary.org/obo/mesh_C012121	0.161
http://purl.obolibrary.org/obo/BTO_0003348	http://purl.obolibrary.org/obo/mesh_C119169	0.124
http://purl.obolibrary.org/obo/BTO_0003553	http://purl.obolibrary.org/obo/mesh_C000589230	0.22
http://purl.obolibrary.org/obo/BTO_0004194	http://purl.obolibrary.org/obo/mesh_D003308	0.125
http://purl.obolibrary.org/obo/BTO_0005100	http://purl.obolibrary.org/obo/mesh_D004567	0.143
http://purl.obolibrary.org/obo/BTO_0003656	http://purl.obolibrary.org/obo/mesh_C000691192	0.173
http://purl.obolibrary.org/obo/BTO_0004127	http://purl.obolibrary.org/obo/mesh_C497136	0.193
http://purl.obolibrary.org/obo/BTO_0005263	http://purl.obolibrary.org/obo/mesh_C565202	0.133
http://purl.obolibrary.org/obo/BTO_0001502	http://purl.obolibrary.org/obo/mesh_C014084	0.181
http://purl.obolibrary.org/obo/BTO_0006542	http://purl.obolibrary.org/obo/mesh_D009331	0.212
http://purl.obolibrary.org/obo/BTO_0000377	http://purl.obolibrary.org/obo/mesh_D004610	0.137
